@relation test_samemaps_tutorial1-weka.filters.unsupervised.attribute.Remove-R23-25-weka.filters.unsupervised.attribute.Remove-R20

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric

@data
12,10,1,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,0
13,10,1,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,East,-1
13,11,1,1,1,1,1,5,6,5,12,13,6,13,12,13,9,5,1,North,-2
13,12,1,1,1,1,1,5,6,5,12,13,6,7,1,14,8,6,-1,North,197
13,11,1,1,1,1,1,5,6,5,12,13,6,7,1,13,9,5,-1,South,196
13,10,1,1,1,1,1,5,6,5,12,13,6,7,1,12,10,4,-1,South,195
13,9,1,1,1,1,1,5,6,5,12,13,6,7,1,11,11,3,-1,South,194
13,8,1,1,1,1,1,5,6,5,12,13,6,7,1,10,12,2,-1,South,193
13,7,1,1,1,1,1,5,6,5,12,13,6,7,1,9,13,1,-1,South,192
13,6,1,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,South,391
12,6,1,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,West,390
11,6,1,1,1,1,1,5,6,5,12,5,1,7,1,6,12,-1,-1,West,389
10,6,1,1,1,1,1,5,6,5,12,5,1,7,1,5,11,-1,-1,West,388
9,6,1,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,West,387
8,6,1,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,West,386
7,6,1,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,West,385
6,6,1,1,1,1,1,5,6,5,12,5,1,7,1,1,7,-1,-1,West,384
5,6,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,West,583
